Municipios;Sexo;Periodo;Total
18048 Cijuela;Hombres;2001;797
18048 Cijuela;Hombres;2000;762
18048 Cijuela;Hombres;1999;748
18048 Cijuela;Hombres;1998;747
18048 Cijuela;Hombres;1997;""
18048 Cijuela;Hombres;1996;739
18048 Cijuela;Mujeres;2022;1.721
18048 Cijuela;Mujeres;2021;1.688
18048 Cijuela;Mujeres;2020;1.657
18048 Cijuela;Mujeres;2019;1.622
18048 Cijuela;Mujeres;2018;1.586
18048 Cijuela;Mujeres;2017;1.595
18048 Cijuela;Mujeres;2016;1.581
18048 Cijuela;Mujeres;2015;1.581
18048 Cijuela;Mujeres;2014;1.576
18048 Cijuela;Mujeres;2013;1.553
18048 Cijuela;Mujeres;2012;1.511
18048 Cijuela;Mujeres;2011;1.511
18048 Cijuela;Mujeres;2010;1.464
18048 Cijuela;Mujeres;2009;1.394
18048 Cijuela;Mujeres;2008;1.287
18048 Cijuela;Mujeres;2007;1.188
18048 Cijuela;Mujeres;2006;1.115
18048 Cijuela;Mujeres;2005;981
18048 Cijuela;Mujeres;2004;883
18048 Cijuela;Mujeres;2003;832
18048 Cijuela;Mujeres;2002;807
18048 Cijuela;Mujeres;2001;776
18048 Cijuela;Mujeres;2000;775
18048 Cijuela;Mujeres;1999;774
18048 Cijuela;Mujeres;1998;776
18048 Cijuela;Mujeres;1997;""
18048 Cijuela;Mujeres;1996;756
18049 Cogollos de Guadix;Total;2022;636
18049 Cogollos de Guadix;Total;2021;630
18049 Cogollos de Guadix;Total;2020;642
18049 Cogollos de Guadix;Total;2019;673
18049 Cogollos de Guadix;Total;2018;656
18049 Cogollos de Guadix;Total;2017;659
18049 Cogollos de Guadix;Total;2016;674
18049 Cogollos de Guadix;Total;2015;718
18049 Cogollos de Guadix;Total;2014;664
18049 Cogollos de Guadix;Total;2013;689
18049 Cogollos de Guadix;Total;2012;718
18049 Cogollos de Guadix;Total;2011;747
18049 Cogollos de Guadix;Total;2010;716
18049 Cogollos de Guadix;Total;2009;715
18049 Cogollos de Guadix;Total;2008;726
18049 Cogollos de Guadix;Total;2007;710
18049 Cogollos de Guadix;Total;2006;721
18049 Cogollos de Guadix;Total;2005;741
18049 Cogollos de Guadix;Total;2004;721
18049 Cogollos de Guadix;Total;2003;711
18049 Cogollos de Guadix;Total;2002;737
18049 Cogollos de Guadix;Total;2001;749
18049 Cogollos de Guadix;Total;2000;746
18049 Cogollos de Guadix;Total;1999;774
18049 Cogollos de Guadix;Total;1998;768
18049 Cogollos de Guadix;Total;1997;""
18049 Cogollos de Guadix;Total;1996;798
18049 Cogollos de Guadix;Hombres;2022;358
18049 Cogollos de Guadix;Hombres;2021;356
18049 Cogollos de Guadix;Hombres;2020;358
18049 Cogollos de Guadix;Hombres;2019;375
18049 Cogollos de Guadix;Hombres;2018;362
18049 Cogollos de Guadix;Hombres;2017;366
18049 Cogollos de Guadix;Hombres;2016;372
18049 Cogollos de Guadix;Hombres;2015;390
18049 Cogollos de Guadix;Hombres;2014;361
18049 Cogollos de Guadix;Hombres;2013;374
18049 Cogollos de Guadix;Hombres;2012;384
18049 Cogollos de Guadix;Hombres;2011;402
18049 Cogollos de Guadix;Hombres;2010;387
18049 Cogollos de Guadix;Hombres;2009;380
18049 Cogollos de Guadix;Hombres;2008;387
18049 Cogollos de Guadix;Hombres;2007;367
18049 Cogollos de Guadix;Hombres;2006;378
18049 Cogollos de Guadix;Hombres;2005;391
18049 Cogollos de Guadix;Hombres;2004;381
18049 Cogollos de Guadix;Hombres;2003;373
18049 Cogollos de Guadix;Hombres;2002;386
18049 Cogollos de Guadix;Hombres;2001;383
18049 Cogollos de Guadix;Hombres;2000;388
18049 Cogollos de Guadix;Hombres;1999;402
18049 Cogollos de Guadix;Hombres;1998;402
18049 Cogollos de Guadix;Hombres;1997;""
18049 Cogollos de Guadix;Hombres;1996;418
18049 Cogollos de Guadix;Mujeres;2022;278
18049 Cogollos de Guadix;Mujeres;2021;274
18049 Cogollos de Guadix;Mujeres;2020;284
18049 Cogollos de Guadix;Mujeres;2019;298
18049 Cogollos de Guadix;Mujeres;2018;294
18049 Cogollos de Guadix;Mujeres;2017;293
18049 Cogollos de Guadix;Mujeres;2016;302
18049 Cogollos de Guadix;Mujeres;2015;328
18049 Cogollos de Guadix;Mujeres;2014;303
18049 Cogollos de Guadix;Mujeres;2013;315
18049 Cogollos de Guadix;Mujeres;2012;334
18049 Cogollos de Guadix;Mujeres;2011;345
18049 Cogollos de Guadix;Mujeres;2010;329
18049 Cogollos de Guadix;Mujeres;2009;335
18049 Cogollos de Guadix;Mujeres;2008;339
18049 Cogollos de Guadix;Mujeres;2007;343
18049 Cogollos de Guadix;Mujeres;2006;343
18049 Cogollos de Guadix;Mujeres;2005;350
18049 Cogollos de Guadix;Mujeres;2004;340
18049 Cogollos de Guadix;Mujeres;2003;338
18049 Cogollos de Guadix;Mujeres;2002;351
18049 Cogollos de Guadix;Mujeres;2001;366
18049 Cogollos de Guadix;Mujeres;2000;358
18049 Cogollos de Guadix;Mujeres;1999;372
18049 Cogollos de Guadix;Mujeres;1998;366
18049 Cogollos de Guadix;Mujeres;1997;""
18049 Cogollos de Guadix;Mujeres;1996;380
18050 Cogollos de la Vega;Total;2022;2.042
18050 Cogollos de la Vega;Total;2021;2.015
18050 Cogollos de la Vega;Total;2020;2.007
18050 Cogollos de la Vega;Total;2019;2.031
18050 Cogollos de la Vega;Total;2018;2.044
18050 Cogollos de la Vega;Total;2017;2.089
18050 Cogollos de la Vega;Total;2016;2.096
18050 Cogollos de la Vega;Total;2015;2.099
18050 Cogollos de la Vega;Total;2014;2.043
18050 Cogollos de la Vega;Total;2013;2.016
18050 Cogollos de la Vega;Total;2012;1.983
18050 Cogollos de la Vega;Total;2011;2.029
18050 Cogollos de la Vega;Total;2010;2.068
18050 Cogollos de la Vega;Total;2009;2.083
18050 Cogollos de la Vega;Total;2008;2.099
18050 Cogollos de la Vega;Total;2007;2.068
18050 Cogollos de la Vega;Total;2006;2.095
18050 Cogollos de la Vega;Total;2005;2.076
18050 Cogollos de la Vega;Total;2004;1.935
18050 Cogollos de la Vega;Total;2003;1.957
18050 Cogollos de la Vega;Total;2002;1.980
18050 Cogollos de la Vega;Total;2001;1.998
18050 Cogollos de la Vega;Total;2000;1.972
18050 Cogollos de la Vega;Total;1999;2.020
18050 Cogollos de la Vega;Total;1998;2.020
18050 Cogollos de la Vega;Total;1997;""
18050 Cogollos de la Vega;Total;1996;2.035
18050 Cogollos de la Vega;Hombres;2022;1.043
18050 Cogollos de la Vega;Hombres;2021;1.029
18050 Cogollos de la Vega;Hombres;2020;1.009
18050 Cogollos de la Vega;Hombres;2019;1.018
18050 Cogollos de la Vega;Hombres;2018;1.018
18050 Cogollos de la Vega;Hombres;2017;1.041
18050 Cogollos de la Vega;Hombres;2016;1.042
18050 Cogollos de la Vega;Hombres;2015;1.045
18050 Cogollos de la Vega;Hombres;2014;1.025
18050 Cogollos de la Vega;Hombres;2013;1.011
18050 Cogollos de la Vega;Hombres;2012;1.003
18050 Cogollos de la Vega;Hombres;2011;1.020
18050 Cogollos de la Vega;Hombres;2010;1.050
18050 Cogollos de la Vega;Hombres;2009;1.066
18050 Cogollos de la Vega;Hombres;2008;1.073
18050 Cogollos de la Vega;Hombres;2007;1.057
18050 Cogollos de la Vega;Hombres;2006;1.075
18050 Cogollos de la Vega;Hombres;2005;1.075
18050 Cogollos de la Vega;Hombres;2004;1.006
18050 Cogollos de la Vega;Hombres;2003;1.020
18050 Cogollos de la Vega;Hombres;2002;1.020
18050 Cogollos de la Vega;Hombres;2001;1.026
18050 Cogollos de la Vega;Hombres;2000;1.006
18050 Cogollos de la Vega;Hombres;1999;1.028
18050 Cogollos de la Vega;Hombres;1998;1.028
18050 Cogollos de la Vega;Hombres;1997;""
18050 Cogollos de la Vega;Hombres;1996;1.027
18050 Cogollos de la Vega;Mujeres;2022;999
18050 Cogollos de la Vega;Mujeres;2021;986
18050 Cogollos de la Vega;Mujeres;2020;998
18050 Cogollos de la Vega;Mujeres;2019;1.013
18050 Cogollos de la Vega;Mujeres;2018;1.026
18050 Cogollos de la Vega;Mujeres;2017;1.048
18050 Cogollos de la Vega;Mujeres;2016;1.054
18050 Cogollos de la Vega;Mujeres;2015;1.054
18050 Cogollos de la Vega;Mujeres;2014;1.018
18050 Cogollos de la Vega;Mujeres;2013;1.005
18050 Cogollos de la Vega;Mujeres;2012;980
18050 Cogollos de la Vega;Mujeres;2011;1.009
18050 Cogollos de la Vega;Mujeres;2010;1.018
18050 Cogollos de la Vega;Mujeres;2009;1.017
18050 Cogollos de la Vega;Mujeres;2008;1.026
18050 Cogollos de la Vega;Mujeres;2007;1.011
18050 Cogollos de la Vega;Mujeres;2006;1.020
18050 Cogollos de la Vega;Mujeres;2005;1.001
18050 Cogollos de la Vega;Mujeres;2004;929
18050 Cogollos de la Vega;Mujeres;2003;937
18050 Cogollos de la Vega;Mujeres;2002;960
18050 Cogollos de la Vega;Mujeres;2001;972
18050 Cogollos de la Vega;Mujeres;2000;966
18050 Cogollos de la Vega;Mujeres;1999;992
18050 Cogollos de la Vega;Mujeres;1998;992
18050 Cogollos de la Vega;Mujeres;1997;""
18050 Cogollos de la Vega;Mujeres;1996;1.008
18051 Colomera;Total;2022;1.291
18051 Colomera;Total;2021;1.298
18051 Colomera;Total;2020;1.302
18051 Colomera;Total;2019;1.309
18051 Colomera;Total;2018;1.350
18051 Colomera;Total;2017;1.376
18051 Colomera;Total;2016;1.395
18051 Colomera;Total;2015;1.416
18051 Colomera;Total;2014;1.431
18051 Colomera;Total;2013;1.453
18051 Colomera;Total;2012;1.468
18051 Colomera;Total;2011;1.507
18051 Colomera;Total;2010;1.545
18051 Colomera;Total;2009;1.568
18051 Colomera;Total;2008;1.594
18051 Colomera;Total;2007;1.588
18051 Colomera;Total;2006;1.570
18051 Colomera;Total;2005;1.498
18051 Colomera;Total;2004;1.567
18051 Colomera;Total;2003;1.591
18051 Colomera;Total;2002;1.614
18051 Colomera;Total;2001;1.618
18051 Colomera;Total;2000;1.610
18051 Colomera;Total;1999;1.664
18051 Colomera;Total;1998;1.692
18051 Colomera;Total;1997;""
18051 Colomera;Total;1996;1.708
18051 Colomera;Hombres;2022;681
18051 Colomera;Hombres;2021;675
18051 Colomera;Hombres;2020;681
18051 Colomera;Hombres;2019;677
18051 Colomera;Hombres;2018;706
18051 Colomera;Hombres;2017;717
18051 Colomera;Hombres;2016;730
18051 Colomera;Hombres;2015;746
18051 Colomera;Hombres;2014;749
18051 Colomera;Hombres;2013;764
18051 Colomera;Hombres;2012;781
18051 Colomera;Hombres;2011;806
18051 Colomera;Hombres;2010;815
18051 Colomera;Hombres;2009;825
18051 Colomera;Hombres;2008;839
18051 Colomera;Hombres;2007;838
18051 Colomera;Hombres;2006;820
18051 Colomera;Hombres;2005;774
18051 Colomera;Hombres;2004;815
18051 Colomera;Hombres;2003;828
18051 Colomera;Hombres;2002;842
18051 Colomera;Hombres;2001;835
18051 Colomera;Hombres;2000;819
18051 Colomera;Hombres;1999;847
18051 Colomera;Hombres;1998;867
18051 Colomera;Hombres;1997;""
18051 Colomera;Hombres;1996;874
18051 Colomera;Mujeres;2022;610
18051 Colomera;Mujeres;2021;623
18051 Colomera;Mujeres;2020;621
18051 Colomera;Mujeres;2019;632
18051 Colomera;Mujeres;2018;644
18051 Colomera;Mujeres;2017;659
18051 Colomera;Mujeres;2016;665
18051 Colomera;Mujeres;2015;670
18051 Colomera;Mujeres;2014;682
18051 Colomera;Mujeres;2013;689
18051 Colomera;Mujeres;2012;687
18051 Colomera;Mujeres;2011;701
18051 Colomera;Mujeres;2010;730
18051 Colomera;Mujeres;2009;743
18051 Colomera;Mujeres;2008;755
18051 Colomera;Mujeres;2007;750
18051 Colomera;Mujeres;2006;750
18051 Colomera;Mujeres;2005;724
18051 Colomera;Mujeres;2004;752
18051 Colomera;Mujeres;2003;763
18051 Colomera;Mujeres;2002;772
18051 Colomera;Mujeres;2001;783
18051 Colomera;Mujeres;2000;791
18051 Colomera;Mujeres;1999;817
18051 Colomera;Mujeres;1998;825
18051 Colomera;Mujeres;1997;""
18051 Colomera;Mujeres;1996;834
18053 Cortes de Baza;Total;2022;1.824
18053 Cortes de Baza;Total;2021;1.870
18053 Cortes de Baza;Total;2020;1.844
18053 Cortes de Baza;Total;2019;1.869
18053 Cortes de Baza;Total;2018;1.901
18053 Cortes de Baza;Total;2017;1.940
18053 Cortes de Baza;Total;2016;1.993
18053 Cortes de Baza;Total;2015;2.058
18053 Cortes de Baza;Total;2014;2.098
18053 Cortes de Baza;Total;2013;2.204
18053 Cortes de Baza;Total;2012;2.219
18053 Cortes de Baza;Total;2011;2.265
18053 Cortes de Baza;Total;2010;2.259
18053 Cortes de Baza;Total;2009;2.266
18053 Cortes de Baza;Total;2008;2.347
18053 Cortes de Baza;Total;2007;2.167
18053 Cortes de Baza;Total;2006;2.206
18053 Cortes de Baza;Total;2005;2.335
18053 Cortes de Baza;Total;2004;2.388
18053 Cortes de Baza;Total;2003;2.435
18053 Cortes de Baza;Total;2002;2.504
18053 Cortes de Baza;Total;2001;2.616
18053 Cortes de Baza;Total;2000;2.717
18053 Cortes de Baza;Total;1999;2.886
18053 Cortes de Baza;Total;1998;2.765
18053 Cortes de Baza;Total;1997;""
18053 Cortes de Baza;Total;1996;3.059
18053 Cortes de Baza;Hombres;2022;906
18053 Cortes de Baza;Hombres;2021;932
18053 Cortes de Baza;Hombres;2020;911
18053 Cortes de Baza;Hombres;2019;931
18053 Cortes de Baza;Hombres;2018;945
18053 Cortes de Baza;Hombres;2017;976
18053 Cortes de Baza;Hombres;2016;1.001
18053 Cortes de Baza;Hombres;2015;1.039
18053 Cortes de Baza;Hombres;2014;1.055
18053 Cortes de Baza;Hombres;2013;1.109
18053 Cortes de Baza;Hombres;2012;1.118
18053 Cortes de Baza;Hombres;2011;1.126
18053 Cortes de Baza;Hombres;2010;1.127
18053 Cortes de Baza;Hombres;2009;1.128
18053 Cortes de Baza;Hombres;2008;1.180
18053 Cortes de Baza;Hombres;2007;1.095
18053 Cortes de Baza;Hombres;2006;1.113
18053 Cortes de Baza;Hombres;2005;1.180
18053 Cortes de Baza;Hombres;2004;1.213
18053 Cortes de Baza;Hombres;2003;1.239
18053 Cortes de Baza;Hombres;2002;1.279
18053 Cortes de Baza;Hombres;2001;1.334
18053 Cortes de Baza;Hombres;2000;1.375
18053 Cortes de Baza;Hombres;1999;1.482
18053 Cortes de Baza;Hombres;1998;1.420
18053 Cortes de Baza;Hombres;1997;""
18053 Cortes de Baza;Hombres;1996;1.565
18053 Cortes de Baza;Mujeres;2022;918
18053 Cortes de Baza;Mujeres;2021;938
18053 Cortes de Baza;Mujeres;2020;933
18053 Cortes de Baza;Mujeres;2019;938
18053 Cortes de Baza;Mujeres;2018;956
18053 Cortes de Baza;Mujeres;2017;964
18053 Cortes de Baza;Mujeres;2016;992
18053 Cortes de Baza;Mujeres;2015;1.019
18053 Cortes de Baza;Mujeres;2014;1.043
18053 Cortes de Baza;Mujeres;2013;1.095
18053 Cortes de Baza;Mujeres;2012;1.101
18053 Cortes de Baza;Mujeres;2011;1.139
18053 Cortes de Baza;Mujeres;2010;1.132
18053 Cortes de Baza;Mujeres;2009;1.138
18053 Cortes de Baza;Mujeres;2008;1.167
18053 Cortes de Baza;Mujeres;2007;1.072
18053 Cortes de Baza;Mujeres;2006;1.093
18053 Cortes de Baza;Mujeres;2005;1.155
18053 Cortes de Baza;Mujeres;2004;1.175
18053 Cortes de Baza;Mujeres;2003;1.196
18053 Cortes de Baza;Mujeres;2002;1.225
18053 Cortes de Baza;Mujeres;2001;1.282
18053 Cortes de Baza;Mujeres;2000;1.342
18053 Cortes de Baza;Mujeres;1999;1.404
18053 Cortes de Baza;Mujeres;1998;1.345
18053 Cortes de Baza;Mujeres;1997;""
18053 Cortes de Baza;Mujeres;1996;1.494
18054 Cortes y Graena;Total;2022;994
18054 Cortes y Graena;Total;2021;990
18054 Cortes y Graena;Total;2020;982
18054 Cortes y Graena;Total;2019;996
18054 Cortes y Graena;Total;2018;993
18054 Cortes y Graena;Total;2017;994
18054 Cortes y Graena;Total;2016;1.020
18054 Cortes y Graena;Total;2015;1.043
18054 Cortes y Graena;Total;2014;1.023
18054 Cortes y Graena;Total;2013;1.026
18054 Cortes y Graena;Total;2012;1.036
18054 Cortes y Graena;Total;2011;1.071
18054 Cortes y Graena;Total;2010;1.033
18054 Cortes y Graena;Total;2009;1.037
18054 Cortes y Graena;Total;2008;1.063
18054 Cortes y Graena;Total;2007;1.067
18054 Cortes y Graena;Total;2006;1.083
18054 Cortes y Graena;Total;2005;1.081
18054 Cortes y Graena;Total;2004;1.091
18054 Cortes y Graena;Total;2003;1.043
18054 Cortes y Graena;Total;2002;1.001
18054 Cortes y Graena;Total;2001;1.019
18054 Cortes y Graena;Total;2000;1.073
18054 Cortes y Graena;Total;1999;1.023
18054 Cortes y Graena;Total;1998;1.013
18054 Cortes y Graena;Total;1997;""
18054 Cortes y Graena;Total;1996;1.026
18054 Cortes y Graena;Hombres;2022;514
18054 Cortes y Graena;Hombres;2021;514
18054 Cortes y Graena;Hombres;2020;513
18054 Cortes y Graena;Hombres;2019;528
18054 Cortes y Graena;Hombres;2018;526
18054 Cortes y Graena;Hombres;2017;517
18054 Cortes y Graena;Hombres;2016;524
18054 Cortes y Graena;Hombres;2015;538
18054 Cortes y Graena;Hombres;2014;523
18054 Cortes y Graena;Hombres;2013;518
18054 Cortes y Graena;Hombres;2012;524
18054 Cortes y Graena;Hombres;2011;541
18054 Cortes y Graena;Hombres;2010;511
18054 Cortes y Graena;Hombres;2009;522
18054 Cortes y Graena;Hombres;2008;533
18054 Cortes y Graena;Hombres;2007;540
18054 Cortes y Graena;Hombres;2006;547
18054 Cortes y Graena;Hombres;2005;543
18054 Cortes y Graena;Hombres;2004;551
18054 Cortes y Graena;Hombres;2003;526
18054 Cortes y Graena;Hombres;2002;516
18054 Cortes y Graena;Hombres;2001;529
18054 Cortes y Graena;Hombres;2000;554
18054 Cortes y Graena;Hombres;1999;524
18054 Cortes y Graena;Hombres;1998;520
18054 Cortes y Graena;Hombres;1997;""
18054 Cortes y Graena;Hombres;1996;521
18054 Cortes y Graena;Mujeres;2022;480
18054 Cortes y Graena;Mujeres;2021;476
18054 Cortes y Graena;Mujeres;2020;469
18054 Cortes y Graena;Mujeres;2019;468
18054 Cortes y Graena;Mujeres;2018;467
18054 Cortes y Graena;Mujeres;2017;477
18054 Cortes y Graena;Mujeres;2016;496
18054 Cortes y Graena;Mujeres;2015;505
18054 Cortes y Graena;Mujeres;2014;500
18054 Cortes y Graena;Mujeres;2013;508
18054 Cortes y Graena;Mujeres;2012;512
18054 Cortes y Graena;Mujeres;2011;530
18054 Cortes y Graena;Mujeres;2010;522
18054 Cortes y Graena;Mujeres;2009;515
18054 Cortes y Graena;Mujeres;2008;530
18054 Cortes y Graena;Mujeres;2007;527
18054 Cortes y Graena;Mujeres;2006;536
18054 Cortes y Graena;Mujeres;2005;538
18054 Cortes y Graena;Mujeres;2004;540
18054 Cortes y Graena;Mujeres;2003;517
18054 Cortes y Graena;Mujeres;2002;485
18054 Cortes y Graena;Mujeres;2001;490
18054 Cortes y Graena;Mujeres;2000;519
18054 Cortes y Graena;Mujeres;1999;499
18054 Cortes y Graena;Mujeres;1998;493
18054 Cortes y Graena;Mujeres;1997;""
18054 Cortes y Graena;Mujeres;1996;505
18912 Cuevas del Campo;Total;2022;1.767
18912 Cuevas del Campo;Total;2021;1.742
18912 Cuevas del Campo;Total;2020;1.744
18912 Cuevas del Campo;Total;2019;1.735
18912 Cuevas del Campo;Total;2018;1.774
18912 Cuevas del Campo;Total;2017;1.821
18912 Cuevas del Campo;Total;2016;1.873
18912 Cuevas del Campo;Total;2015;1.882
18912 Cuevas del Campo;Total;2014;1.919
18912 Cuevas del Campo;Total;2013;1.938
18912 Cuevas del Campo;Total;2012;2.014
18912 Cuevas del Campo;Total;2011;1.979
18912 Cuevas del Campo;Total;2010;2.054
18912 Cuevas del Campo;Total;2009;2.077
18912 Cuevas del Campo;Total;2008;2.131
18912 Cuevas del Campo;Total;2007;2.032
18912 Cuevas del Campo;Total;2006;2.073
18912 Cuevas del Campo;Total;2005;2.097
18912 Cuevas del Campo;Total;2004;2.048
18912 Cuevas del Campo;Total;2003;2.050
18912 Cuevas del Campo;Total;2002;2.111
18912 Cuevas del Campo;Total;2001;2.190
18912 Cuevas del Campo;Total;2000;2.161
18912 Cuevas del Campo;Total;1999;2.232
18912 Cuevas del Campo;Total;1998;2.256
18912 Cuevas del Campo;Total;1997;""
18912 Cuevas del Campo;Total;1996;2.314
18912 Cuevas del Campo;Hombres;2022;889
18912 Cuevas del Campo;Hombres;2021;877
18912 Cuevas del Campo;Hombres;2020;885
18912 Cuevas del Campo;Hombres;2019;873
18912 Cuevas del Campo;Hombres;2018;886
18912 Cuevas del Campo;Hombres;2017;914
18912 Cuevas del Campo;Hombres;2016;942
18912 Cuevas del Campo;Hombres;2015;942
18912 Cuevas del Campo;Hombres;2014;958
18912 Cuevas del Campo;Hombres;2013;973
18912 Cuevas del Campo;Hombres;2012;1.013
18912 Cuevas del Campo;Hombres;2011;987
18912 Cuevas del Campo;Hombres;2010;1.032
18912 Cuevas del Campo;Hombres;2009;1.066
18912 Cuevas del Campo;Hombres;2008;1.103
18912 Cuevas del Campo;Hombres;2007;1.030
18912 Cuevas del Campo;Hombres;2006;1.055
18912 Cuevas del Campo;Hombres;2005;1.060
18912 Cuevas del Campo;Hombres;2004;1.022
18912 Cuevas del Campo;Hombres;2003;1.020
18912 Cuevas del Campo;Hombres;2002;1.058
18912 Cuevas del Campo;Hombres;2001;1.103
18912 Cuevas del Campo;Hombres;2000;1.066
18912 Cuevas del Campo;Hombres;1999;1.105
18912 Cuevas del Campo;Hombres;1998;1.124
18912 Cuevas del Campo;Hombres;1997;""
18912 Cuevas del Campo;Hombres;1996;1.143
18912 Cuevas del Campo;Mujeres;2022;878
18912 Cuevas del Campo;Mujeres;2021;865
18912 Cuevas del Campo;Mujeres;2020;859
18912 Cuevas del Campo;Mujeres;2019;862
18912 Cuevas del Campo;Mujeres;2018;888
18912 Cuevas del Campo;Mujeres;2017;907
18912 Cuevas del Campo;Mujeres;2016;931
18912 Cuevas del Campo;Mujeres;2015;940
18912 Cuevas del Campo;Mujeres;2014;961
18912 Cuevas del Campo;Mujeres;2013;965
18912 Cuevas del Campo;Mujeres;2012;1.001
18912 Cuevas del Campo;Mujeres;2011;992
18912 Cuevas del Campo;Mujeres;2010;1.022
18912 Cuevas del Campo;Mujeres;2009;1.011
18912 Cuevas del Campo;Mujeres;2008;1.028
18912 Cuevas del Campo;Mujeres;2007;1.002
18912 Cuevas del Campo;Mujeres;2006;1.018
18912 Cuevas del Campo;Mujeres;2005;1.037
18912 Cuevas del Campo;Mujeres;2004;1.026
18912 Cuevas del Campo;Mujeres;2003;1.030
18912 Cuevas del Campo;Mujeres;2002;1.053
18912 Cuevas del Campo;Mujeres;2001;1.087
18912 Cuevas del Campo;Mujeres;2000;1.095
18912 Cuevas del Campo;Mujeres;1999;1.127
18912 Cuevas del Campo;Mujeres;1998;1.132
18912 Cuevas del Campo;Mujeres;1997;""
18912 Cuevas del Campo;Mujeres;1996;1.171
18056 Cúllar;Total;2022;4.017
18056 Cúllar;Total;2021;4.079
18056 Cúllar;Total;2020;4.091
18056 Cúllar;Total;2019;4.129
18056 Cúllar;Total;2018;4.171
18056 Cúllar;Total;2017;4.276
18056 Cúllar;Total;2016;4.296
18056 Cúllar;Total;2015;4.351
18056 Cúllar;Total;2014;4.500
18056 Cúllar;Total;2013;4.612
18056 Cúllar;Total;2012;4.630
18056 Cúllar;Total;2011;4.653
18056 Cúllar;Total;2010;4.703
18056 Cúllar;Total;2009;4.766
18056 Cúllar;Total;2008;4.832
18056 Cúllar;Total;2007;4.859
18056 Cúllar;Total;2006;4.898
18056 Cúllar;Total;2005;4.898
18056 Cúllar;Total;2004;4.836
18056 Cúllar;Total;2003;4.820
18056 Cúllar;Total;2002;5.010
18056 Cúllar;Total;2001;4.813
18056 Cúllar;Total;2000;4.836
18056 Cúllar;Total;1999;5.078
18056 Cúllar;Total;1998;5.078
18056 Cúllar;Total;1997;""
18056 Cúllar;Total;1996;5.229
18056 Cúllar;Hombres;2022;1.992
18056 Cúllar;Hombres;2021;2.033
18056 Cúllar;Hombres;2020;2.044
18056 Cúllar;Hombres;2019;2.054
18056 Cúllar;Hombres;2018;2.084
18056 Cúllar;Hombres;2017;2.151
18056 Cúllar;Hombres;2016;2.157
18056 Cúllar;Hombres;2015;2.183
18056 Cúllar;Hombres;2014;2.270
18056 Cúllar;Hombres;2013;2.322
18056 Cúllar;Hombres;2012;2.337
18056 Cúllar;Hombres;2011;2.340
18056 Cúllar;Hombres;2010;2.376
18056 Cúllar;Hombres;2009;2.401
18056 Cúllar;Hombres;2008;2.429
18056 Cúllar;Hombres;2007;2.425
18056 Cúllar;Hombres;2006;2.440
18056 Cúllar;Hombres;2005;2.439
18056 Cúllar;Hombres;2004;2.417
18056 Cúllar;Hombres;2003;2.410
18056 Cúllar;Hombres;2002;2.484
18056 Cúllar;Hombres;2001;2.404
18056 Cúllar;Hombres;2000;2.403
18056 Cúllar;Hombres;1999;2.533
18056 Cúllar;Hombres;1998;2.533
18056 Cúllar;Hombres;1997;""
18056 Cúllar;Hombres;1996;2.602
18056 Cúllar;Mujeres;2022;2.025
18056 Cúllar;Mujeres;2021;2.046
18056 Cúllar;Mujeres;2020;2.047
18056 Cúllar;Mujeres;2019;2.075
18056 Cúllar;Mujeres;2018;2.087
18056 Cúllar;Mujeres;2017;2.125
18056 Cúllar;Mujeres;2016;2.139
18056 Cúllar;Mujeres;2015;2.168
18056 Cúllar;Mujeres;2014;2.230
18056 Cúllar;Mujeres;2013;2.290
18056 Cúllar;Mujeres;2012;2.293
18056 Cúllar;Mujeres;2011;2.313
18056 Cúllar;Mujeres;2010;2.327
18056 Cúllar;Mujeres;2009;2.365
18056 Cúllar;Mujeres;2008;2.403
18056 Cúllar;Mujeres;2007;2.434
18056 Cúllar;Mujeres;2006;2.458
18056 Cúllar;Mujeres;2005;2.459
18056 Cúllar;Mujeres;2004;2.419
18056 Cúllar;Mujeres;2003;2.410
18056 Cúllar;Mujeres;2002;2.526
18056 Cúllar;Mujeres;2001;2.409
18056 Cúllar;Mujeres;2000;2.433
18056 Cúllar;Mujeres;1999;2.545
18056 Cúllar;Mujeres;1998;2.545
18056 Cúllar;Mujeres;1997;""
18056 Cúllar;Mujeres;1996;2.627
18057 Cúllar Vega;Total;2022;7.681
18057 Cúllar Vega;Total;2021;7.719
18057 Cúllar Vega;Total;2020;7.547
18057 Cúllar Vega;Total;2019;7.429
18057 Cúllar Vega;Total;2018;7.378
18057 Cúllar Vega;Total;2017;7.330
18057 Cúllar Vega;Total;2016;7.198
18057 Cúllar Vega;Total;2015;7.128
18057 Cúllar Vega;Total;2014;7.139
18057 Cúllar Vega;Total;2013;7.090
18057 Cúllar Vega;Total;2012;7.104
18057 Cúllar Vega;Total;2011;7.019
18057 Cúllar Vega;Total;2010;6.914
18057 Cúllar Vega;Total;2009;6.658
18057 Cúllar Vega;Total;2008;6.503
18057 Cúllar Vega;Total;2007;6.212
18057 Cúllar Vega;Total;2006;5.892
18057 Cúllar Vega;Total;2005;5.556
18057 Cúllar Vega;Total;2004;5.173
18057 Cúllar Vega;Total;2003;4.799
18057 Cúllar Vega;Total;2002;4.424
18057 Cúllar Vega;Total;2001;3.997
18057 Cúllar Vega;Total;2000;3.499
18057 Cúllar Vega;Total;1999;3.171
