Municipios;Sexo;Periodo;Total
18001 Agrón;Mujeres;1999;201
18001 Agrón;Mujeres;1998;203
18001 Agrón;Mujeres;1997;""
18001 Agrón;Mujeres;1996;212
18002 Alamedilla;Total;2022;567
18002 Alamedilla;Total;2021;564
18002 Alamedilla;Total;2020;569
18002 Alamedilla;Total;2019;574
18002 Alamedilla;Total;2018;599
18002 Alamedilla;Total;2017;606
18002 Alamedilla;Total;2016;611
18002 Alamedilla;Total;2015;637
18002 Alamedilla;Total;2014;658
18002 Alamedilla;Total;2013;695
18002 Alamedilla;Total;2012;673
18002 Alamedilla;Total;2011;704
18002 Alamedilla;Total;2010;699
18002 Alamedilla;Total;2009;721
18002 Alamedilla;Total;2008;757
18002 Alamedilla;Total;2007;777
18002 Alamedilla;Total;2006;785
18002 Alamedilla;Total;2005;811
18002 Alamedilla;Total;2004;830
18002 Alamedilla;Total;2003;843
18002 Alamedilla;Total;2002;864
18002 Alamedilla;Total;2001;871
18002 Alamedilla;Total;2000;898
18002 Alamedilla;Total;1999;947
18002 Alamedilla;Total;1998;953
18002 Alamedilla;Total;1997;""
18002 Alamedilla;Total;1996;1.007
18002 Alamedilla;Hombres;2022;293
18002 Alamedilla;Hombres;2021;286
18002 Alamedilla;Hombres;2020;287
18002 Alamedilla;Hombres;2019;288
18002 Alamedilla;Hombres;2018;307
18002 Alamedilla;Hombres;2017;310
18002 Alamedilla;Hombres;2016;314
18002 Alamedilla;Hombres;2015;331
18002 Alamedilla;Hombres;2014;341
18002 Alamedilla;Hombres;2013;355
18002 Alamedilla;Hombres;2012;347
18002 Alamedilla;Hombres;2011;364
18002 Alamedilla;Hombres;2010;359
18002 Alamedilla;Hombres;2009;364
18002 Alamedilla;Hombres;2008;391
18002 Alamedilla;Hombres;2007;397
18002 Alamedilla;Hombres;2006;396
18002 Alamedilla;Hombres;2005;409
18002 Alamedilla;Hombres;2004;419
18002 Alamedilla;Hombres;2003;428
18002 Alamedilla;Hombres;2002;435
18002 Alamedilla;Hombres;2001;436
18002 Alamedilla;Hombres;2000;455
18002 Alamedilla;Hombres;1999;480
18002 Alamedilla;Hombres;1998;483
18002 Alamedilla;Hombres;1997;""
18002 Alamedilla;Hombres;1996;508
18002 Alamedilla;Mujeres;2022;274
18002 Alamedilla;Mujeres;2021;278
18002 Alamedilla;Mujeres;2020;282
18002 Alamedilla;Mujeres;2019;286
18002 Alamedilla;Mujeres;2018;292
18002 Alamedilla;Mujeres;2017;296
